text,silver_label,silver_confidence,silver_probs,source_label,agreement
Why does this look like it was done on PURPOSE! Anyone else feel like this?,Negative,0.6612,"{""Negative"": 0.6612, ""Neutral"": 0.3232, ""Positive"": 0.0156}",Negative,yes
Anybody here from 2010?,Neutral,0.8320,"{""Negative"": 0.0998, ""Neutral"": 0.832, ""Positive"": 0.0682}",Neutral,yes
i am also using IdeaPad 310.. but it is bit slow maybe because of hdd and no ssd..,Negative,0.5471,"{""Negative"": 0.5471, ""Neutral"": 0.4279, ""Positive"": 0.025}",Neutral,no
Wow! The best explanation so far within just few minutes! Thanks!,Positive,0.9528,"{""Negative"": 0.0338, ""Neutral"": 0.0134, ""Positive"": 0.9528}",Positive,yes
This is super helpful! Ty :),Positive,0.9670,"{""Negative"": 0.0163, ""Neutral"": 0.0167, ""Positive"": 0.967}",Positive,yes
WOW EVERYTHING IS JUST WOW THE PERSON THE PEOPLE SUPPORTING THE PLACE THE RAMPS EVERYTHING! THESE PEOPLE ARE SO KIND HEARTED!,Positive,0.6628,"{""Negative"": 0.3047, ""Neutral"": 0.0325, ""Positive"": 0.6628}",Positive,yes
"I use Fedora, Mint and Debian 11...all are great and easy to use. thanks for offering these courses. ;)",Positive,0.8257,"{""Negative"": 0.0375, ""Neutral"": 0.1369, ""Positive"": 0.8257}",Positive,yes
You are so amazing James God Bless you and your family and friends and please all your co actors hear this amazing human being.❤❤❤,Positive,0.9166,"{""Negative"": 0.0147, ""Neutral"": 0.0687, ""Positive"": 0.9166}",Positive,yes
This problem destroyed my confidence.,Negative,0.5534,"{""Negative"": 0.5534, ""Neutral"": 0.092, ""Positive"": 0.3547}",Negative,yes
Just a friendly reminder: A few days after Halloween is the best time to throw away the orange pumkin(g)! VOTE!!!,Negative,0.4871,"{""Negative"": 0.4871, ""Neutral"": 0.1401, ""Positive"": 0.3728}",Negative,yes
INFTY3 Token still presents opportunities even if we missed out on other coins. What makes it an attractive investment?,Neutral,0.7844,"{""Negative"": 0.1066, ""Neutral"": 0.7844, ""Positive"": 0.109}",Neutral,yes
Very nice information sir .. Sir bhut yese video dekhte the khi v step by step ads ka course nhi krate the but aapki agar harek part ko dekh le to syd hme lgta hai ki wo 99percent to jarur sikh jayega 👍👌👌very nice 🙏🙏,Positive,0.7223,"{""Negative"": 0.0116, ""Neutral"": 0.2661, ""Positive"": 0.7223}",Positive,yes
Why are they thinking of telling people not to even go out for a jog? Doesn't social distancing work? Is it permanently airborne?,Negative,0.6139,"{""Negative"": 0.6139, ""Neutral"": 0.3463, ""Positive"": 0.0398}",Neutral,no
"just politely sharing a video for how to pronounce available, otherwise pretty good English.",Neutral,0.7644,"{""Negative"": 0.0441, ""Neutral"": 0.7644, ""Positive"": 0.1914}",Neutral,yes
Lmfao eyy another john Travolta movie iv never heard of😂 love this actor,Positive,0.5224,"{""Negative"": 0.0908, ""Neutral"": 0.3868, ""Positive"": 0.5224}",Positive,yes
The Floral apron 😂,Neutral,0.4997,"{""Negative"": 0.3129, ""Neutral"": 0.4997, ""Positive"": 0.1874}",Neutral,yes
my mouth always hurts after opening gifts because of how much I fake smiles,Negative,0.7263,"{""Negative"": 0.7263, ""Neutral"": 0.0424, ""Positive"": 0.2313}",Negative,yes
